# TYPE: EVALUATIONS
Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
50,50,50,50,50,50,50,50,50,50,50,50,50
85,50,40,50,60,100,30,70,100,70,70,40,60
100,0,0,85,0,100,50,50,85,85,85,15,85
0,60,15,0,100,70,100,70,70,0,50,70,30
85,30,50,0,60,100,15,1,85,60,70,40,85
40,60,50,0,100,70,0,6,70,50,100,60,40
0,70,40,15,70,50,70,85,40,50,60,70,0
15,65,65,15,70,40,100,85,40,0,50,60,20
85,30,60,100,85,100,70,85,100,85,70,70,70
100,0,60,85,0,100,50,0,100,50,50,0,100
100,40,15,85,40,100,40,40,100,100,70,40,60
85,15,0,70,0,85,0,40,70,60,60,30,60
15,85,60,15,85,60,70,85,60,60,85,85,30
0,85,50,0,85,40,100,85,50,50,85,70,0
85,40,50,70,51,70,4,60,80,75,60,49,80
85,15,50,70,60,85,0,0,85,60,60,40,70
30,60,0,15,70,40,85,70,60,0,60,70,30
0,85,0,50,85,0,100,100,50,50,60,100,30
85,70,60,70,50,85,85,50,60,60,60,70,60
15,85,30,70,50,85,100,100,100,50,60,100,15
30,60,15,60,65,55,65,75,80,45,70,40,40
70,30,50,60,30,85,0,0,85,50,50,0,85
100,15,50,70,30,70,15,15,100,70,85,40,85
100,15,15,70,50,100,60,70,100,70,60,70,70
0,85,60,15,60,30,85,100,85,50,50,70,30
70,15,15,0,40,50,70,40,0,60,50,70,50
0,85,50,15,85,70,70,70,85,30,85,85,30
90,0,0,70,0,95,0,0,85,90,75,50,50
100,60,50,0,70,100,85,100,85,70,85,60,70
0,85,30,0,70,50,70,85,60,0,50,85,15
100,50,50,100,60,100,40,50,100,85,70,70,85
50,0,30,70,0,60,0,30,40,15,85,15,60
15,60,0,0,60,40,70,70,70,30,50,70,60
50,70,0,15,60,60,70,100,70,50,60,70,50
70,70,40,60,70,85,40,70,85,40,85,60,40
50,100,85,70,100,85,100,100,85,0,100,85,40
100,15,40,100,0,100,0,0,100,85,100,15,85
100,15,15,70,15,50,0,0,50,85,40,15,70
0,85,50,0,70,100,85,95,70,15,70,85,60
85,0,15,85,15,100,0,0,60,50,50,0,85
60,85,50,60,85,70,100,100,50,50,50,60,85
30,85,60,40,70,50,30,70,85,50,60,50,30
50,50,50,50,50,50,60,50,60,50,50,60,50
30,70,70,0,70,60,85,85,70,0,70,85,40
0,60,0,0,85,50,85,100,60,0,60,85,15
30,70,15,15,85,60,100,85,60,50,50,85,60
30,70,50,30,85,50,70,7,50,50,5,85,15
15,85,50,50,50,50,60,50,50,55,50,85,15
100,30,0,100,40,100,0,60,100,60,70,30,100
0,60,40,0,70,50,85,85,70,0,65,60,0
85,30,50,70,30,70,0,0,70,60,40,30,70
60,40,60,50,50,50,70,70,60,40,70,60,60
85,0,40,70,40,85,30,40,85,60,85,0,70
0,85,20,0,85,15,85,100,25,10,0,95,0
70,60,50,60,50,50,85,70,50,50,60,50,50
85,40,60,60,50,85,70,70,70,60,50,40,85
15,40,70,0,50,40,50,70,40,0,15,60,50
85,50,0,85,50,85,70,70,70,70,70,60,85
15,50,50,30,50,40,70,70,50,50,40,60,40
15,70,85,0,70,0,50,60,100,0,100,60,50
85,15,50,50,0,100,0,0,100,70,60,30,70
15,50,50,40,60,50,70,85,60,50,60,60,50
0,70,50,15,60,50,50,100,60,0,100,60,60
85,60,60,85,40,85,50,30,85,70,50,40,70
100,50,50,70,100,100,100,100,100,70,60,100,100
90,0,70,80,40,70,50,80,90,60,90,60,80
70,70,50,50,85,100,70,70,85,50,60,85,40
85,30,0,70,30,85,0,30,85,60,70,15,70
15,60,30,0,85,40,70,70,40,15,70,70,30
85,15,30,70,15,85,15,30,70,60,60,30,70
40,50,50,40,50,50,50,70,50,30,50,50,50
60,50,50,60,70,85,40,40,70,50,50,50,50
50,60,30,15,70,70,85,85,60,50,70,60,30
50,50,50,90,10,85,10,50,90,50,75,49,51
15,85,60,30,70,100,60,85,100,15,100,70,15
85,50,60,85,50,85,50,40,85,85,70,50,70
70,40,50,30,50,50,15,0,40,50,50,30,70
60,30,15,15,15,100,15,60,100,30,85,50,50
85,40,50,70,60,100,15,30,100,30,100,40,60
85,100,70,70,85,70,70,70,85,60,70,100,100
40,60,50,30,50,60,0,60,60,50,85,60,40
0,100,15,0,100,60,90,100,80,30,50,85,20
15,70,85,0,85,15,70,85,30,0,60,70,15
100,40,50,70,60,70,50,15,40,60,40,60,85
85,50,50,85,50,50,40,40,50,50,50,40,85
100,15,30,60,50,100,0,0,85,100,50,0,70
15,60,30,0,60,60,85,85,85,15,85,60,40
70,50,50,60,50,70,60,40,85,40,50,50,85
70,50,50,60,50,60,50,60,60,50,60,50,60
40,70,50,40,70,40,70,70,50,40,40,85,40
70,0,15,60,50,70,60,60,85,15,50,50,70
85,15,50,60,50,100,0,60,85,60,70,15,85
50,85,15,30,85,70,70,60,60,30,30,70,40
100,0,15,100,75,95,99,99,100,80,65,95,85
0,85,60,0,70,40,85,85,60,0,60,85,0
60,50,60,40,70,70,85,85,85,30,85,60,60
40,60,50,30,85,60,70,85,60,30,70,60,30
60,50,50,60,50,60,40,60,50,50,50,85,15
85,50,50,60,60,70,0,0,60,70,50,60,70
0,60,30,15,50,70,85,100,70,50,60,60,30
75,25,30,50,10,85,10,20,75,50,85,50,60
0,85,85,0,100,70,15,85,30,50,0,100,0
100,40,50,85,60,100,0,0,85,85,70,40,85
15,70,50,15,70,50,70,85,30,15,50,60,15
70,60,50,70,70,60,30,30,100,40,50,60,70
0,85,15,0,100,50,60,100,60,0,60,100,40
50,60,50,0,60,50,70,70,30,30,50,60,50
40,70,60,60,50,50,0,30,85,50,50,70,40
85,50,60,100,40,100,70,60,85,50,30,40,85
40,70,60,15,85,85,70,70,85,30,85,60,30
85,50,40,70,50,100,50,40,70,50,100,50,85
100,30,70,60,40,100,0,0,100,50,70,50,85
60,50,30,40,50,50,50,60,70,40,50,50,50
70,40,40,60,40,70,60,70,85,60,50,70,60
100,15,40,70,50,50,0,0,60,50,70,60,100
85,30,15,70,40,85,0,30,60,70,60,30,60
100,30,30,70,15,100,30,60,60,70,60,15,100
100,15,0,60,0,70,20,30,85,50,70,30,90
70,40,30,85,70,70,50,50,85,85,85,60,85
15,70,60,15,70,50,60,60,30,30,40,60,30
70,70,70,70,85,85,70,85,85,70,60,70,70
40,85,30,30,85,30,85,100,70,15,70,85,60
85,15,15,85,15,85,0,0,100,70,60,0,100
60,85,50,30,70,50,70,85,70,40,40,60,40
60,60,50,60,70,85,50,0,85,50,50,60,60
30,70,50,50,60,30,70,40,60,50,50,70,30
70,60,70,50,50,60,40,50,70,50,60,60,60
40,85,15,70,50,60,85,60,85,50,50,85,0
70,70,50,70,60,70,70,60,60,50,60,70,70
100,30,15,85,30,85,15,15,85,70,60,30,85
70,40,40,50,50,50,50,30,50,50,50,40,40
100,0,70,85,15,100,0,15,85,85,85,30,85
40,100,50,15,85,60,100,100,100,60,100,100,50
30,40,30,40,50,60,85,70,70,30,60,40,30
100,60,50,70,60,50,50,30,85,50,85,60,85
85,15,0,85,30,100,0,30,85,60,40,15,60
15,100,50,15,100,0,60,85,50,0,60,85,15
70,40,15,70,50,70,40,70,70,60,70,70,60
0,40,40,15,60,70,30,60,70,0,100,30,30
15,70,0,0,60,70,100,85,70,15,85,60,30
70,70,60,60,70,60,70,70,70,60,60,60,60
100,0,50,85,15,85,0,15,85,70,30,15,85
0,100,0,0,100,70,100,100,60,50,60,100,0
70,60,0,70,85,85,15,30,70,50,70,30,60
100,30,60,80,5,70,5,0,95,75,90,3,90
40,60,50,50,50,50,70,85,60,50,50,85,40
85,50,50,70,40,100,40,15,85,60,70,40,70
100,50,70,50,60,85,15,15,70,50,77,60,70
0,70,85,0,70,40,40,85,40,0,70,70,15
100,30,50,60,40,100,0,0,100,50,50,15,85
70,50,60,40,30,60,30,30,70,50,60,40,60
0,70,60,0,70,50,70,60,15,15,15,60,15
85,15,0,100,60,100,85,50,100,70,70,30,70
15,85,0,40,100,85,85,100,70,50,60,100,50
60,30,50,60,30,70,15,60,60,40,50,50,50
15,85,70,0,70,50,85,85,40,0,60,70,30
30,40,0,60,60,50,40,60,70,15,50,40,30
0,85,30,0,85,50,70,70,60,0,70,85,15
60,70,40,40,70,50,50,85,60,50,70,60,50
0,70,0,0,80,40,80,70,50,0,80,85,0
60,40,50,50,50,60,40,40,60,30,40,30,40
50,50,75,25,100,100,75,100,75,50,100,75,25
5,75,0,5,50,5,50,85,5,0,50,85,5
30,85,50,50,85,60,85,85,50,40,30,100,30
85,0,15,50,15,70,85,60,85,50,50,85,70
100,0,50,85,15,100,0,0,70,85,60,15,85
0,60,50,0,50,30,50,60,60,0,70,60,0
30,70,0,15,50,0,40,85,50,30,70,40,40
0,85,60,50,85,60,100,100,100,60,40,70,60
100,0,0,85,0,100,0,0,85,85,70,0,100
0,85,60,0,85,60,100,100,30,0,60,60,0
70,60,30,60,40,70,50,50,60,60,60,40,70
100,100,100,0,100,50,100,100,15,0,100,100,50
85,60,40,90,50,85,0,15,85,85,60,40,70
100,85,85,85,70,100,85,100,100,85,100,85,85
70,70,40,50,50,60,100,85,100,50,50,100,85
100,60,85,60,60,100,60,40,100,50,100,70,85
60,70,50,60,50,70,85,40,60,50,40,70,60
70,0,60,50,15,85,0,0,60,50,40,0,60
60,85,50,50,60,85,70,70,70,50,60,85,60
70,15,60,70,30,85,30,15,100,60,60,60,85
90,5,55,45,35,90,10,20,75,50,65,30,65
0,75,0,0,85,75,95,95,75,0,75,75,0
95,15,60,90,15,95,0,0,85,80,85,15,90
0,60,50,50,50,30,60,50,70,50,50,50,50
0,70,50,15,75,50,30,50,75,50,70,55,30
75,45,50,60,60,100,0,30,100,40,75,50,50
30,4,40,30,60,70,60,60,85,40,85,50,50
50,85,40,30,70,50,100,100,85,50,70,70,50
70,50,60,60,30,85,40,60,85,50,70,60,70
50,70,0,40,70,60,85,85,15,15,60,85,70
60,70,50,50,50,40,85,100,100,50,40,60,60
100,0,85,70,0,100,3,0,85,85,70,15,70
0,70,80,0,80,30,70,90,80,30,80,70,20
85,30,0,40,60,100,15,30,85,40,85,15,60
0,70,40,0,50,0,85,100,30,50,15,40,0
85,40,50,60,30,0,15,70,70,85,100,100,0
0,100,0,0,100,0,100,100,30,15,30,85,15
100,50,50,100,50,100,0,0,100,100,85,30,85
85,30,40,60,50,85,15,0,100,50,50,40,70
15,80,15,0,80,50,90,85,40,10,75,80,5
0,70,30,15,70,50,85,85,50,0,70,60,30
100,70,40,85,50,85,0,40,100,85,100,40,85
15,85,30,0,85,30,85,85,30,15,50,85,40
70,70,70,60,70,85,0,85,70,70,70,70,15
100,0,100,85,85,100,60,0,100,50,100,50,50
0,85,0,15,70,85,85,70,85,50,15,70,0
40,60,15,40,70,50,85,85,100,40,50,70,40
70,15,30,40,30,100,0,0,100,30,100,30,30
60,15,50,50,40,85,0,50,85,60,85,40,50
100,0,50,100,0,100,0,0,100,100,50,100,100
15,30,50,40,50,60,85,60,100,60,60,50,50
100,0,50,85,70,100,15,15,85,85,60,50,50
30,60,0,30,60,50,60,100,50,50,50,70,50
85,15,40,70,30,100,0,0,60,60,40,30,85
30,85,0,0,85,50,15,100,50,0,40,60,15
50,70,85,50,50,50,100,100,100,70,70,100,0
85,30,40,40,50,85,0,0,50,85,50,40,80
40,70,30,30,60,70,85,85,50,30,85,50,50
70,30,50,70,15,85,15,50,85,70,60,50,50
10,50,0,0,85,15,100,100,100,15,30,85,60
70,40,50,60,85,50,30,70,85,60,85,60,5
15,40,60,15,30,70,0,70,60,0,50,85,30
100,50,50,85,60,100,50,60,85,85,70,50,100
100,60,50,70,50,100,70,100,85,85,85,60,85
40,85,40,60,100,60,100,100,60,50,70,85,60
70,40,15,50,30,60,60,60,85,40,50,50,70
80,40,0,40,30,50,50,50,40,40,65,40,60
0,70,50,0,50,50,60,85,70,50,50,50,50
40,60,50,40,50,50,50,40,50,50,50,50,50
75,30,50,60,60,90,10,40,90,60,60,40,60
100,0,50,100,15,100,0,0,85,85,70,15,85
100,1,50,100,5,100,3,1,100,70,70,0,100
85,15,50,85,15,85,15,15,85,85,85,60,85
85,50,50,40,60,85,85,85,60,60,60,70,70
15,70,85,0,60,30,60,85,40,15,50,60,40
100,0,0,100,0,100,0,0,30,30,0,30,100
70,85,0,15,85,85,60,85,60,50,50,85,40
0,85,0,15,100,15,100,100,60,50,50,85,0
40,85,50,15,85,60,100,100,40,15,60,100,30
100,30,40,70,50,100,0,40,100,70,70,30,70
30,60,50,30,60,60,60,15,70,30,50,70,40
0,62,55,0,80,50,90,95,59,40,60,57,0
100,0,60,85,50,100,0,0,85,85,50,0,60
30,70,50,60,85,70,100,85,60,15,40,70,40
0,100,60,0,70,60,100,100,40,0,40,100,0
85,60,40,15,60,100,50,60,70,60,50,60,85
0,60,15,0,85,50,85,85,60,0,50,70,0
0,85,0,0,85,50,85,60,40,50,50,70,15
10,60,50,85,50,85,0,15,85,85,60,40,85
60,85,50,70,70,70,100,100,85,70,60,100,50
100,50,45,90,40,100,30,0,85,85,85,30,100
50,85,60,50,100,70,100,100,60,30,60,85,60
100,40,60,60,50,70,30,0,85,50,50,30,70
60,90,30,50,70,70,10,20,75,50,60,80,50
85,0,50,85,15,100,0,15,100,70,30,15,85
70,30,50,60,70,70,70,70,70,40,40,50,60
60,45,15,50,15,100,0,45,85,30,85,45,55
70,40,30,60,40,85,40,50,85,70,70,60,70
30,70,15,60,70,60,50,70,70,50,50,70,40
0,90,60,15,70,15,95,85,30,0,50,70,0
15,85,40,30,85,85,60,70,70,30,60,70,40
0,100,30,50,70,50,100,100,85,60,50,100,0
70,40,50,60,50,85,30,15,70,60,70,60,60
85,50,30,85,50,100,60,15,85,15,70,40,70
70,30,60,40,70,50,15,70,85,40,60,40,70
30,70,50,40,100,50,100,70,50,50,70,70,70
85,50,85,70,15,85,0,0,60,60,85,50,50
15,70,50,50,50,60,70,60,70,50,50,70,30
15,60,50,0,50,30,60,85,30,40,60,60,30
70,60,85,50,50,85,85,60,85,40,70,60,60
85,15,30,85,40,85,0,50,100,100,60,50,70
85,40,15,85,15,85,30,30,85,60,70,70,70
30,40,40,40,50,50,60,50,30,15,30,30,15
70,70,100,60,70,60,70,60,70,60,70,70,70
0,100,0,0,100,15,100,100,0,0,40,100,0
100,0,0,100,0,100,0,0,100,100,100,0,100
80,0,0,85,0,85,0,30,85,50,60,30,60
40,85,0,30,85,70,100,100,60,30,70,100,40
85,50,60,70,50,85,70,50,70,50,70,70,85
70,40,30,50,50,85,50,40,70,60,60,60,60
30,85,50,15,70,70,70,70,85,40,70,60,30
15,85,50,15,85,50,85,85,30,30,40,85,60
85,50,70,85,85,60,30,70,60,50,50,70,70
100,0,50,70,0,85,0,0,85,50,50,0,85
15,85,40,50,85,70,70,70,70,50,50,60,40
100,40,50,85,40,100,40,30,100,85,85,50,85
100,30,60,100,50,100,50,60,85,70,85,30,85
15,85,60,50,50,70,70,85,70,50,50,70,15
0,85,85,0,85,50,85,100,60,0,70,70,40
0,85,40,40,30,50,0,0,70,50,15,60,50
85,50,70,85,50,85,85,85,85,85,70,70,70
0,85,50,60,40,50,70,40,60,30,50,40,15
15,85,50,0,85,40,85,100,50,30,60,85,40
50,50,60,50,50,60,70,60,70,50,50,60,40
50,70,30,35,50,70,55,35,75,45,60,70,40
85,70,30,85,70,85,85,100,85,70,70,70,70
50,70,50,50,70,50,50,70,50,50,60,50,70
15,70,50,50,50,60,70,70,60,50,50,70,30
30,60,0,0,50,60,60,85,60,0,60,70,60
50,60,30,30,60,85,70,85,60,40,50,60,50
0,85,40,0,85,30,85,100,40,0,50,85,15
85,50,70,85,60,100,50,50,85,70,70,50,85
0,50,15,40,40,50,85,100,70,50,50,85,0
0,100,50,0,100,85,60,100,50,40,60,100,50
100,0,50,100,15,100,0,0,85,70,85,0,100
40,60,30,15,60,70,70,70,85,0,85,30,30
70,40,30,60,50,85,0,30,70,40,85,40,60
15,50,0,85,15,50,70,50,85,50,70,85,30
40,60,50,60,40,30,50,60,70,50,50,60,40
100,0,40,100,0,100,0,0,100,50,70,0,100
50,85,70,0,85,15,15,0,100,30,60,100,0
40,60,50,40,60,50,70,70,70,50,70,60,40
0,60,70,50,50,50,70,85,30,30,30,50,50
30,70,40,70,60,60,70,70,85,60,50,60,50
15,70,60,0,60,50,70,60,70,70,30,70,15
100,40,50,70,60,100,0,0,85,70,60,40,85
85,50,85,60,60,100,30,30,100,70,85,40,60
60,85,50,70,85,50,50,30,70,70,100,85,40
100,60,70,85,60,100,15,30,100,60,85,40,85
85,40,70,70,50,85,60,60,85,60,100,60,70
30,60,40,50,60,40,60,70,85,70,60,50,50
45,55,65,70,55,50,85,100,95,70,95,51,30
15,70,50,50,15,40,85,100,70,50,50,100,50
50,60,30,30,50,50,50,85,50,15,50,50,40
85,0,60,60,15,100,0,0,85,70,30,40,70
30,70,50,15,70,40,60,85,30,40,60,85,40
85,60,50,70,60,85,30,40,100,70,100,55,60
85,50,85,100,70,100,40,60,70,60,40,60,70
85,15,50,70,15,100,15,15,60,70,60,15,70
30,70,50,40,70,60,100,90,60,30,50,85,40
0,85,15,0,85,15,85,100,60,0,60,70,15
30,85,50,15,100,50,85,85,85,50,60,100,40
100,0,15,100,0,100,0,0,60,85,40,0,100
100,50,77,70,50,100,70,70,100,70,50,70,85
0,60,0,0,30,70,50,0,40,15,60,60,50
100,15,70,100,40,85,40,60,85,100,70,60,85
50,100,50,50,100,70,70,85,70,50,70,100,50
60,70,0,0,70,70,85,100,60,60,0,60,0
100,15,15,85,40,100,50,30,85,70,30,0,100
60,85,60,0,50,85,85,85,85,85,60,70,50
85,30,50,60,30,85,15,30,85,50,50,50,85
15,85,30,0,100,50,85,70,60,15,60,80,30
60,60,15,50,15,40,60,80,60,50,50,60,60
0,85,50,0,70,15,50,85,30,0,85,50,30
85,15,50,70,0,85,0,0,70,0,50,50,70
15,70,50,40,50,50,50,50,70,65,50,50,50
100,0,60,85,0,85,15,15,60,85,50,0,100
0,70,70,0,70,15,50,85,30,40,0,40,40
95,45,35,85,60,95,30,5,85,95,50,50,95
40,40,50,0,50,50,60,40,100,40,0,0,0
85,60,50,70,30,70,80,90,85,70,85,60,70
0,60,85,0,60,15,85,100,40,50,60,70,15
50,50,50,50,50,50,70,85,50,50,50,70,50
0,70,85,0,60,50,50,50,30,0,50,40,0
70,15,50,60,0,100,15,40,85,70,70,30,60
100,40,50,60,60,100,0,0,100,40,100,50,100
0,70,0,0,85,0,85,85,15,0,30,60,15
0,100,70,0,85,50,85,100,70,0,85,70,15
100,0,15,85,0,100,0,0,85,60,70,0,100
85,50,30,70,40,100,60,70,100,70,85,0,85
0,85,0,0,100,40,100,100,60,0,70,100,0
85,50,60,60,70,85,0,30,100,40,85,30,70
85,30,60,70,70,70,15,50,85,60,70,40,70
85,0,15,70,0,100,0,0,85,85,50,0,85
60,70,85,60,85,60,70,50,85,60,85,85,60
50,70,50,30,85,60,50,60,60,50,60,70,50
60,70,70,70,70,60,70,60,85,50,50,50,50
70,60,50,40,70,70,70,85,70,85,70,70,85
100,0,0,85,0,100,0,0,85,85,85,0,100
100,15,50,70,30,100,30,0,50,50,70,15,100
85,30,50,60,40,100,40,0,85,40,85,40,70
85,30,15,90,40,70,15,75,80,90,80,35,65
100,0,50,50,50,85,40,0,60,50,50,40,85
0,85,30,0,100,0,100,100,50,0,60,85,0
30,85,50,40,70,40,85,100,70,30,70,85,30
70,40,50,50,40,70,40,15,85,60,40,30,60
85,70,60,70,50,100,100,50,100,70,85,70,70
15,85,0,0,70,15,85,60,50,0,60,60,30
30,60,85,40,85,60,50,100,70,15,85,70,30
70,60,50,0,60,100,40,85,100,0,85,70,40
0,85,15,0,70,30,86,70,15,0,60,70,0
85,15,50,60,40,100,60,15,85,50,60,15,70
100,30,2,100,10,100,50,5,100,50,25,30,50
40,70,0,40,100,85,100,85,30,70,60,70,60
100,15,50,70,70,70,0,85,70,60,50,40,60
85,70,50,70,70,70,85,100,100,100,70,100,70
30,85,60,0,70,70,70,85,85,30,60,70,40
70,60,30,30,70,85,60,85,85,60,50,60,60
15,85,60,30,85,30,85,100,15,50,50,60,50
15,15,40,0,30,50,40,50,60,0,60,30,4
85,50,70,85,70,85,85,100,85,70,70,70,50
85,15,50,100,15,85,0,0,100,15,85,40,70
50,70,0,50,70,70,70,70,70,70,70,70,50
85,15,15,60,0,85,0,30,100,40,85,30,70
40,60,100,30,60,60,100,85,100,40,60,100,50
40,60,50,50,50,50,60,70,70,60,50,70,60
0,85,50,40,85,50,70,100,30,50,50,85,0
70,30,50,70,50,50,50,40,50,50,50,50,50
0,70,40,40,85,30,100,100,70,50,15,70,30
50,100,0,50,100,70,100,100,85,30,50,100,40
0,85,15,0,85,50,70,5,60,15,60,85,15
85,0,50,85,15,100,0,40,60,65,60,0,70
90,15,15,85,15,50,30,30,85,70,15,15,90
95,40,50,60,55,90,15,50,85,70,55,50,85
100,0,15,100,15,100,15,0,70,85,60,30,70
40,60,50,40,50,50,50,60,40,40,70,60,40
60,60,50,70,60,50,50,50,50,50,60,50,70
30,60,15,50,70,85,85,100,40,50,60,85,0
85,30,15,60,15,85,0,15,100,30,85,30,70
70,70,70,15,50,80,40,60,90,40,80,65,50
50,85,50,50,85,50,70,100,40,50,50,85,70
60,85,30,85,85,100,100,100,70,100,30,100,50
70,50,50,60,40,70,40,30,70,60,60,40,60
70,70,50,50,50,50,60,15,100,50,85,60,50
0,100,85,50,60,70,100,85,0,0,50,100,0
60,70,50,70,85,85,70,85,85,60,70,70,60
85,40,50,70,30,100,50,70,100,60,70,40,60
60,65,50,50,90,85,40,55,70,50,60,70,60
0,85,60,15,85,50,100,100,60,0,60,85,15
85,15,50,70,0,100,0,30,85,70,70,40,60
85,50,50,60,50,85,0,0,85,50,100,60,85
85,60,50,70,50,85,40,60,85,70,60,50,60
60,40,50,50,50,60,15,15,85,30,85,50,60
70,60,15,70,30,50,5,60,75,50,50,40,60
0,70,60,0,85,30,85,85,40,0,85,60,15
30,85,50,40,70,50,70,60,70,50,50,100,15
40,100,15,50,100,100,100,100,60,40,70,100,100
100,0,0,100,0,100,0,0,60,100,15,40,85
15,85,50,30,70,50,70,100,60,70,70,85,0
40,50,50,40,50,50,60,50,50,30,50,50,40
0,85,15,0,85,50,70,95,40,0,70,70,10
70,15,60,100,30,70,0,30,85,70,85,30,60
85,30,70,85,40,85,30,15,85,85,70,40,60
85,15,70,100,15,100,70,60,100,70,60,60,70
60,70,30,15,70,60,70,85,60,60,30,70,60
15,100,15,0,100,50,85,100,40,0,70,85,15
30,85,15,30,50,60,50,70,85,70,85,70,30
0,85,60,0,100,50,85,100,50,0,70,85,0
85,30,50,85,40,100,15,15,10,100,70,40,85
85,40,50,60,60,85,30,40,85,70,70,30,70
60,85,15,30,70,85,70,70,70,50,85,85,50
40,60,50,30,50,50,60,70,70,30,85,60,60
85,15,50,60,15,70,0,15,60,50,60,40,70
100,15,60,70,15,85,0,0,85,85,85,15,85
30,60,50,30,50,50,70,70,70,60,60,50,50
85,40,30,85,50,70,15,30,100,70,100,30,70
60,70,60,0,85,85,100,100,50,30,85,85,30
100,0,50,100,40,100,30,40,85,50,15,15,85
50,60,50,40,60,50,60,60,50,50,40,60,50
85,30,0,50,70,85,30,50,100,40,70,50,50
85,60,60,60,70,100,15,60,100,0,70,60,60
100,40,50,70,50,85,30,15,70,50,50,40,85
15,70,50,15,70,50,70,60,40,40,60,85,30
30,60,30,50,50,40,40,50,60,50,50,60,40
85,40,50,60,60,85,70,70,70,60,100,40,70
100,0,0,85,0,100,0,0,100,100,50,50,90
0,60,50,0,62,50,85,60,40,40,60,60,40
50,50,50,50,50,50,60,60,50,50,50,50,50
85,0,60,60,30,70,15,40,60,60,70,30,70
0,70,50,0,85,100,60,60,40,15,100,85,15
0,85,50,50,60,60,85,70,70,40,40,100,15
0,85,0,0,85,50,70,100,40,50,60,85,15
100,40,75,60,50,90,70,0,100,100,100,50,60
100,15,50,85,30,100,0,15,85,85,50,60,85
70,30,50,60,30,70,30,30,70,50,50,40,40
40,70,0,40,70,50,85,85,60,50,50,85,40
0,70,0,0,85,30,85,100,15,0,70,85,0
15,85,0,0,60,60,50,85,70,30,70,85,50
60,50,50,60,50,60,60,60,70,50,50,50,60
100,30,50,70,15,100,30,0,100,70,85,15,50
0,85,0,0,85,50,70,75,40,0,40,85,15
0,60,40,0,60,50,50,60,85,0,50,60,50
0,85,30,0,85,40,100,100,40,15,60,70,15
85,40,70,70,50,100,0,40,85,60,100,50,85
70,60,70,70,70,60,70,70,70,60,60,40,60
100,40,40,95,40,100,2,40,90,95,90,50,75
70,30,60,85,50,100,85,85,70,50,85,50,85
40,70,70,30,70,60,85,70,85,40,70,70,40
70,50,15,70,50,70,70,85,85,85,70,50,50
